,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url,supplier_name_copy,rating,contact_name,contact_dept,Address:,Zip:,Country/Region:,Province/State:,City:
10,"Xiaogan Raylux Lighting Co., Ltd.",https://raylux.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Grow tent, Ballast, Grow bag, Led grow light, Bulbs",https://raylux.en.alibaba.com/company_profile.html#top-nav-bar,"Xiaogan Raylux Lighting Co., Ltd.",,Ms. William Ma,Director/CEO/General Manager,NO.1 Xiaohan Ave,432000,China,Hubei,XIAOGAN
11,"Huizhou Risen Lighting Co., Ltd.",https://risenlighting.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Grow Ballast, HPS/MH Lamp, Grow light Kits, Led Panel Light, Led Flood Light",https://risenlighting.en.alibaba.com/company_profile.html#top-nav-bar,"Huizhou Risen Lighting Co., Ltd.",4.8,Mr. Ivy Lee,Marketing,"1D1305 GANGHUI, XINTIANDI, HUICHENG, HUIZHOU",516000,China,Guangdong,HUIZHOU
12,"Sinowell (Shanghai) Co., Ltd.",https://sino-well.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Electronic Ballast, Magnetic Ballast, Digital Ballast, Grow Tent, 600w Electronic Ballast",https://sino-well.en.alibaba.com/company_profile.html#top-nav-bar,"Sinowell (Shanghai) Co., Ltd.",5.0,Mr. Roger Luo,Sales,"Rm 802, Bld 2, No.335, Guoding Rd, Shanghai, 200433, China",200433,China,Shanghai,Shanghai
13,"Guangzhou New View Electrical & Lighting Co., Ltd.",https://new-viewhid.en.alibaba.com/contactinfo.html,Gold Supplier,12,"OEM HID ballast, HID xenon kit, LED headlight, LED Bar Light, LED Work Light",https://new-viewhid.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou New View Electrical & Lighting Co., Ltd.",5.0,Ms. Linda Lin,Sales,"6#, Longnan  RD., NO.2 Industrial Zone, Huashan Town, Huadu District, Guangzhou 510880, China",510880,China,Guangdong,Guangzhou 
14,"Ningbo Yong Cai Optoelectronic Technology Co., Ltd.",https://ycgd.en.alibaba.com/contactinfo.html,Gold Supplier,4,"LED Headlight, LED Light Bar, LED Work Light, HID XENON KIT, Car LED Interior Lights",https://ycgd.en.alibaba.com/company_profile.html#top-nav-bar,"Ningbo Yong Cai Optoelectronic Technology Co., Ltd.",4.8,Ms. Julia Zhu,Director/CEO/General Manager,jiangbei directly beihai road 38,315000,China,Zhejiang,ningbo
15,"Wenzhou Hengxiong Electric Co., Ltd.",https://chinuphydro.en.alibaba.com/contactinfo.html,Gold Supplier,6,"grow light reflector, electronic ballast, grow tent, T5 fixture, light hanger",https://chinuphydro.en.alibaba.com/company_profile.html#top-nav-bar,"Wenzhou Hengxiong Electric Co., Ltd.",4.4,Ms. Li Dong,Director/CEO/General Manager,"101# Huimin Road, Dongchen Industrial Zone, Tangxia Town",325200,China,Zhejiang,Ruian
16,"Gwell Group Co., Ltd.",https://gwellgroup.en.alibaba.com/contactinfo.html,Supplier,5,"Ballast, Reflector, Bulb, Filter, Inline Fan, Reflective Mylar Film, Rope Ratchet Hanger",https://gwellgroup.en.alibaba.com/company_profile.html#top-nav-bar,"Gwell Group Co., Ltd.,Supplier",0.0,Ms. Gwell Sales,,"No.4, Lane 158, Hangtou Rd, Shanghai, China",201317,China,Shandong,Shanghai
17,"Xuzhou Hortlight Co., Ltd.",https://hortlight.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Electronic Ballast, 1000W DE Fixture, 630W CMH Fixture, 315W CMH Ballast, Dual 315W Fixture",https://hortlight.en.alibaba.com/company_profile.html#top-nav-bar,"Xuzhou Hortlight Co., Ltd.",5.0,Mr. David Song,Director/CEO/General Manager,"No.6 Qianjin Road, Economic Development Zone",221200,China,Jiangsu,Suining
18,"Chi Na Tech (HZ) Co., Ltd.",https://hzhortiking.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Grow Light Bulb, Hydroponics, Garden Accessories, Carbon Filter, Ventilation System",https://hzhortiking.en.alibaba.com/company_profile.html#top-nav-bar,"Chi Na Tech (HZ) Co., Ltd.",4.5,Ms. Alice Zeng,Director/CEO/General Manager,"Building NO.23, 488-1 Donghubei Road,Economic and Technological Development Zone,Yuhang District,Hangzhou,Zhejiang,China.",311100,China,Zhejiang,Hangzhou
19,"Huizhou Virex Technology Co., Ltd.",https://virex.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Leaf Trimmer, Double ended reflector, Double ended Ballast, Grow Tent, Light mover",https://virex.en.alibaba.com/company_profile.html#top-nav-bar,"Huizhou Virex Technology Co., Ltd.",4.4,Ms. Maureen Young,Sales,"Huizhou, Guangdong, China",,China,Guangdong,Huizhou
20,"Yongkang Sun-Vehicle Industry & Trade Co., Ltd.",https://kinggrow.en.alibaba.com/contactinfo.html,Gold Supplier,2,"ballast, reflector, grow light bulbs",https://kinggrow.en.alibaba.com/company_profile.html#top-nav-bar,"Yongkang Sun-Vehicle Industry & Trade Co., Ltd.",3.3,Ms. jenny jin,Sales,"25 / f, jinpin building",,China,Zhejiang,yongkang
21,"Hangzhou Triumph Imp & Exp Co., Ltd.",https://tri-lite.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Hydriponics System, Led Grow Light, Grow Light Bulb, Grow Tent, Garden Accessories",https://tri-lite.en.alibaba.com/company_profile.html#top-nav-bar,"Hangzhou Triumph Imp & Exp Co., Ltd.",5.0,Ms. Ella Huang,,"Building NO.23, 488-1 Donghubei Road,Economic and Technological Development Zone,Yuhang District",,China,Zhejiang,Hangzhou
22,Guangzhou EBM Lighting Limited,https://ebm-lighting.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Electronic Ballast, CMH Ballast, HID electronic ballast, Grow Light Bulb, Grow Light kit",https://ebm-lighting.en.alibaba.com/company_profile.html#top-nav-bar,Guangzhou EBM Lighting Limited,4.8,Ms. Candy Tang,,"	Room 5128, Lianming Commercial Center, No. 151, Guangyuan Middle Road, Baiyun Dist",,China,Guangdong,Guangzhou
23,"Huizhou Jinhong Electric Appliance Co., Ltd.",https://okayhydro.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Ballast, Timer Relay, Climate Controller, Hydroponics system, Reflector",https://okayhydro.en.alibaba.com/company_profile.html#top-nav-bar,"Huizhou Jinhong Electric Appliance Co., Ltd.",5.0,XIe Jack,,,,China,,
24,"Guangzhou Deao Light Technology Co., Ltd.",https://gzdao.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Automobile double light lens, The led lights, Hid Ballst, Hid Bulbs, Automobile decorative lamp",https://gzdao.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Deao Light Technology Co., Ltd.",5.0,Ms. Effie Li,,"No.35 Yongfu Road, Yuexie District",8510000,China,,guangzhou
25,"Guangzhou Evitek Electronic Co., Ltd.",https://evitekhid.en.alibaba.com/contactinfo.html,Gold Supplier,11,"LED HEADLIGHT, CAR LED BULB, HID XENON KIT, LED HEADLIGHT KIT, LED HEADLIGHT BULB",https://evitekhid.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Evitek Electronic Co., Ltd.",4.8,Mr. Nick Lin,Sales,"Room 1221, Biyun Commercial Centre, No. 104, Xianlie Zhong Road, Yuexiu District",510665,China,Guangdong,Guangzhou
26,"Guangzhou Longlife Auto Parts Co., Ltd.",https://longlifecar.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Auto Sensor, Auto switch, Fuel Injector, Window Switch, Auto filter",https://longlifecar.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Longlife Auto Parts Co., Ltd.",5.0,Mr. Stephen King,Director/CEO/General Manager,"Luanming Building,Jiangxia Konggang Avenue,Baiyun district,Guangzhou,Guangdong Province .",,China,Guangdong,Guazngzhou
27,"Guangzhou Onelight Car Accessories Co., Ltd.",https://gzonelight.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Auto LED headlight, Car LED headlight, Auto LED bulbs, HID, Xenon",https://gzonelight.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Onelight Car Accessories Co., Ltd.",5.0,Ms. Ellen Chow,Sales,"Rm 510, Huaying business centre,",510440,China,Guangdong,guangzhou
28,"Guangzhou Xuzun Trade Co., Ltd.",https://xuzunhk.en.alibaba.com/contactinfo.html,Gold Supplier,4,"LED driving light, LED Work Light, LED Light Bar, HID Driving Light, LED Headlight",https://xuzunhk.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Xuzun Trade  Co., Ltd.",4.8,Ms. Alice He,,"Floor 1, Building A,No.5 Industrial Zone Xiaoping South 1st Road,Baiyun District,Guangzhou,China",,China,Guangdong,GUANGZHOU
29,"Guangzhou P And D Electronic Technology Co., Ltd.",https://padalight.en.alibaba.com/contactinfo.html,Gold Supplier,5,"LED headlight bulb, LED Emblem light, LED sealed beam, LED headlight, LED work light",https://padalight.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou P And D Electronic Technology Co., Ltd.",4.4,Ms. Cindy Zhou,,"No 1, Xian Ke Yi Road,Hua Dong Town ,Hua Du District ",,China,Guangdong,Guangzhou
30,Guangzhou Gpusi Electronics Science & Technology Limited,https://gpusi.en.alibaba.com/contactinfo.html,Gold Supplier,4,"HID, LED healight, Faros LED, ESCONDIDO",https://gpusi.en.alibaba.com/company_profile.html#top-nav-bar,Guangzhou Gpusi Electronics Science & Technology Limited,5.0,Ms. Fermi Liang,Sales,"No 9, 1st steet , East yongxing road,taihe town,baiyun district ,guangzhou,china ",510540,China,Guangdong,guangzhou
31,"Jiaxing Guangtai Lighting Co., Ltd.",https://gt-light.en.alibaba.com/contactinfo.html,Supplier,6,"Auto Halogen Bulb, Hid Xenon Lamp, Sealed Lamp, H-Sealed Lamp, LED Bulb",https://gt-light.en.alibaba.com/company_profile.html#top-nav-bar,"Jiaxing Guangtai Lighting Co., Ltd.,Supplier",5.0,Ms. Kelly Chen,Sales,shendang town ,,China,Zhejiang,haiyan city
32,"Wenzhou Honnex Trading Co., Ltd.",https://honnex.en.alibaba.com/contactinfo.html,Gold Supplier,3,"PHILIPS lighting products, LED Panel, PHILIPS LED, LED tunnel light, LED Downlight",https://honnex.en.alibaba.com/company_profile.html#top-nav-bar,"Wenzhou Honnex Trading Co., Ltd.",5.0,Mr. Jack Honnex,Director/CEO/General Manager,"NO. 30 LIYANG NEW ROAD,LU CHENG,WENZHOU CHINA",325000,China,Zhejiang,Wenzhou
33,"Foshan Tengnuo Technology Co., Ltd.",https://tepro.en.alibaba.com/contactinfo.html,Gold Supplier,2,"UVC lamp, infrared lamp, amalgam germicidal lamp, UV sterilizer, electonic ballast",https://tepro.en.alibaba.com/company_profile.html#top-nav-bar,"Foshan Tengnuo Technology Co., Ltd.",5.0,Mr. lex lu,Sales,"No. 8-1, Dongyang 3rd Road, Xin'an Industrial Development Zone, Danzao Town, Nanhai Dist.",528216,China,Guangdong,Foshan
34,"Shanghai Millenium Industry Co., Ltd.",https://milleniumhorticulture.en.alibaba.com/contactinfo.html,Supplier,1,"Grow Light, Ballast, Fishing Light, Infrared Light",https://milleniumhorticulture.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Millenium Industry Co., Ltd.,Supplier",,,,,,China,,
35,"Foshan Novotek Optoelectronics Co., Ltd.",https://novotek.en.alibaba.com/contactinfo.html,Gold Supplier,2,"HPS MH CMH Digital Ballast, Reflector, HPS MH CMH lamp, Lighting fixture, Grow CFL",https://novotek.en.alibaba.com/company_profile.html#top-nav-bar,"Foshan Novotek Optoelectronics Co., Ltd.",4.8,Mr. Terry Zhang,Director/CEO/General Manager,"NO. 27, ZHENDONG ROAD, XINLIAN INDUSTRIAL ZONE, LISHUI TOWN, NANHAI AREA",,China,Guangdong,Foshan
36,"Wuxi Bolaipu Lighting Technology Co., Ltd.",https://wxblpzm.en.alibaba.com/contactinfo.html,Gold Supplier,1,fish lamp ballast,https://wxblpzm.en.alibaba.com/company_profile.html#top-nav-bar,"Wuxi Bolaipu Lighting Technology Co., Ltd.",,,,,,China,,
37,"Shaoxing Deplux Lighting Co., Ltd.",https://deplux.en.alibaba.com/contactinfo.html,Gold Supplier,9,"LED lamps, Electronic ballast, UV lamps, CFL lamp, CCFL lamps",https://deplux.en.alibaba.com/company_profile.html#top-nav-bar,"Shaoxing Deplux Lighting Co., Ltd.",5.0,Mr. Yabin Zhang,Sales,"NO.105 Buxing St. Wealth Center Paojiang Industrial Zone, Shaoxing",312000,China,Zhejiang,Shaoxing
38,"Foshan Ming Yu Electric Light Source Co., Ltd.",https://fsmyu.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Insect Glue Trap lamp, Solar mosquito trap lamp, Outdoor mosquito killer lamp, Indoor mosquito trap, sticky fly trap board",https://fsmyu.en.alibaba.com/company_profile.html#top-nav-bar,"Foshan Ming Yu Electric Light Source Co., Ltd.",3.9,Ms. Joyce Chan,Marketing,"No.503, 5/F BUILDING C, THE MIDDLE ROAD OF FOLUO ROAD No.1, LUOCUN , SHISHAN TOWN NANHAI DISTRICT , FOSHAN , GUANGDONG, CHINA",528226,China,Guangdong,Foshan
39,"Suzhou Tonhi Lighting Electric Appliance Co., Ltd.",https://tonhilighting.en.alibaba.com/contactinfo.html,Gold Supplier,3,"H.I.D Lamps, High pressure Mercury Lamp, High Pressure Sodium Lamp, Metal Halide Lamp, Fishing lamps",https://tonhilighting.en.alibaba.com/company_profile.html#top-nav-bar,"Suzhou Tonhi Lighting Electric Appliance Co., Ltd.",,,,,,,,
40,"Hefei Fitbright Energy Saving Technology Co., Ltd.",https://fitbright.en.alibaba.com/contactinfo.html,Gold Supplier,1,"70~1000W Electronic Ballast, 90-400V Electronic Ballast, Lighting Control System, non-dimming Electronic Ballast, dimming Electronic Ballast",https://fitbright.en.alibaba.com/company_profile.html#top-nav-bar,"Hefei Fitbright Energy Saving Technology Co., Ltd.",5.0,Ms. JING WANG,Sales,"4 Floor,No.1, Daoxiang Road,Shushan District,Hefei,Anhui Province,China",230000,China,Anhui,Hefei
41,Liteharbor ,https://dglighting.en.alibaba.com/contactinfo.html,Supplier,11,"LED Mirror, LED Downlight, LED Linear Light",https://dglighting.en.alibaba.com/company_profile.html#top-nav-bar,"Liteharbor Lighting Technology Co., Ltd.,Supplier",5.0,Ms. Ada Zhou,Director/CEO/General Manager,New Industry Area Hecun Danzao Town Nanhai Foshan City Guangdong China,528216,China,Guangdong,Foshan
42," Technology Co., Ltd.",https://brandon.en.alibaba.com/contactinfo.html,Supplier,11,"Lighting Fixtures (High Bay Light, IP65 Vapor Tight, Troffer Light, Wraparounds Light, Suspended Light, Batten Strips Lighting, Retrofit Kits)",https://brandon.en.alibaba.com/company_profile.html#top-nav-bar,"Jiangmen Brandon Lighting Co., Ltd.,Supplier",,Mr. Brandon zhang,Director/CEO/General Manager,"NO#12,Dong Mu Street,Hi-Tech Industrial Park,JiangMen City,GuangDong,China.529020",529020,China,Guangdong,JiangMen
43,Jiangmen Brandon ,https://halcon.en.alibaba.com/contactinfo.html,Supplier,8,"LED Office Light, LED Warehouse Light",https://halcon.en.alibaba.com/company_profile.html#top-nav-bar,"Zhongshan Halcon Lighting & Electrical Co., Ltd.,Supplier",4.9,Ms. Emily Mao,Sales,"Building#K,Pacific Industrial Park,YongXing Industrial Zone,HengLan Town, ZhongShan City,",,China,Guangdong,ZhongShan
44," Co., Ltd.",https://tiaoshun.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Lighting Fixture, Grille Light, waterproof fluorescent lighting fixture, T8 integrated tube, t5 integrated tubes",https://tiaoshun.en.alibaba.com/company_profile.html#top-nav-bar,"Zhongshan TiaoShun Lighting Co., Ltd.",5.0,Mr. Ken Chen,Sales,"No.1,Luyun Road,Thenorth Industrial Park,Xiaolan Town",528400,China,Guangdong,zhongshan
45,Zhongshan Halcon ,https://fullwintech.en.alibaba.com/contactinfo.html,Gold Supplier,1,"LED tube, LED PL lamp, LED corn light, LED driver",https://fullwintech.en.alibaba.com/company_profile.html#top-nav-bar,"Shenzhen Fullwin New Tech Co., Ltd.",,Mr. Wilson Yang,Director/CEO/General Manager,"Longhua District, Dalang Street",518000,China,Guangdong,Shenzhen
46," & Electrical Co., Ltd.",https://bayangzm.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Fluorescent lamps, Fluorescent Lightings, Lighting Fixture, Electronic Wall Lamp",https://bayangzm.en.alibaba.com/company_profile.html#top-nav-bar,"Shengzhou Lighting Product Co., Ltd.",,Ms. Sula Zhu,Sales,"No.118 shuangta road,economic development zone ,shengzhou",312400,China,Zhejiang,shengzhou
47,Zhongshan TiaoShun ,https://zschanglong.en.alibaba.com/contactinfo.html,Gold Supplier,14,"LED panel light, LED troffer, LED downlight, LED linear light, LED ceiling light",https://zschanglong.en.alibaba.com/company_profile.html#top-nav-bar,"Zhongshan City Changlong Electrical Co., Ltd.",5.0,Ms. Subi Li,Sales,"Dongrui Industrial Park, Dongsheng Town, Zhongshan City, Guangdong Province. China",528414,China,Guangdong,Zhongshan
48," Co., Ltd.",https://bdtrading.en.alibaba.com/contactinfo.html,Supplier,13,"Lighting, Furniture, Wall Paper",https://bdtrading.en.alibaba.com/company_profile.html#top-nav-bar,"Guangzhou Trulene Import And Export Co., Ltd.",5.0,Ms. Karen Liu,Director/CEO/General Manager,Jiangnan Dadaozhong,510000,China,Guangdong,Guangzhou
49,"Shenzhen Fullwin New Tech Co., Ltd.",https://hualinglighting.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Table Lamp, Floor Lamp, Wall sconce lamp, pendant lamp, led lamp",https://hualinglighting.en.alibaba.com/company_profile.html#top-nav-bar,Zhongshan Hualing Lighting Inc.,,Mr. SUNNY sun,Sales,Fu qing 2rd  NO 10 YongXing indutrial district henglan town zhangshan city guangdong china,528478,China,Guangdong,zhongshan
50,Shengzhou ,https://meiyunlighting.en.alibaba.com/contactinfo.html,Supplier,7,"Chandelier &amp; Pendant Light, Ceiling Light, Wall Lamp, Table Lamp, Floor Lamp",https://meiyunlighting.en.alibaba.com/company_profile.html#top-nav-bar,"Zhongshan Meiyun Lighting Co., Ltd.,Supplier",5.0,,,,,,,
51,"Hangzhou Delixi Group Co., Ltd.",https://delixi-elc.en.alibaba.com/contactinfo.html,Gold Supplier,8,"frequency inverter, switch and Socket, led light, circuit breaker, fuse",https://delixi-elc.en.alibaba.com/company_profile.html#top-nav-bar,"Hangzhou Delixi Group Co., Ltd.",4.9,Ms. DE LIXI,Other,"# 8 Zhuantang Industrical Park,Xihu Area,Hangzhou City,Zhejiang Province,China",310024,China,Zhejiang,Hangzhou city
52,Zhongshan Halcon ,https://light-acclaim.en.alibaba.com/contactinfo.html,Gold Supplier,5,"pendant lamp, crystal light, glass light, industrial light, wall lamp",https://light-acclaim.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Acclaim Industries Co., Ltd.",0.0,Ms. Amy Xie,Sales,"No.77 East of Shadian road,Zhujiajiao Town, Qingpu district, Shanghai City , China",201100,China,Shanghai,Shanghai
53,"Changzhou Lightbest Tech. Co., Ltd.",https://lightbest.en.alibaba.com/contactinfo.html,Gold Supplier,5,"uv germicidal lamp, uv filter, uv water sterilizer, electronic ballast, quartz tube",https://lightbest.en.alibaba.com/company_profile.html#top-nav-bar,"Changzhou Lightbest Tech. Co., Ltd.",5.0,Ms. Anna Xu,Director/CEO/General Manager,"7109&7111,Modern City,Jinling North Road,Xinbei district",213022,China,Jiangsu,Changzhou
54,"Guangdong Lonyung LED Lighting Co., Ltd.",https://lonyung.en.alibaba.com/contactinfo.html,Supplier,9,"LED Integrated Tube, LED Tri-proof Light, LED High Bay Light",https://lonyung.en.alibaba.com/company_profile.html#top-nav-bar,"Guangdong Lonyung LED Lighting Co., Ltd.,Supplier",4.9,Ms. LONYUNG LED,Sales,"Block 2, number 39,East Jucheng Rd,Xiaolan Town, Zhongshan City, Guangdong Province,China",528415,China,Guangdong,ZhongShan
55,"Hangzhou Welthink Electronic Co., Ltd.",https://welthink.en.alibaba.com/contactinfo.html,Supplier,13,Electronic Ballast,https://welthink.en.alibaba.com/company_profile.html#top-nav-bar,"Hangzhou Welthink Electronic Co., Ltd.",,Ms. Ivy Lou,Marketing,"Hangzhou, China 310009",310009,China,Zhejiang,Hangzhou
56,"Foshan Teyuan Electronic Science & Technology Co., Ltd.",https://tydz.en.alibaba.com/contactinfo.html,Gold Supplier,8,"electronic ballast, fluorescent light ballast, ul ballast, cul ballast, ce ballast",https://tydz.en.alibaba.com/company_profile.html#top-nav-bar,"Foshan Teyuan Electronic Science & Technology Co., Ltd.",,Mr. SHISHENG ZHU,,"6TH Fl, B Bldg, No.10 Sizhi Road, Chancheng District",528000,China,Guangdong,Foshan
57,"Shanghai Lipu Lighting Co., Ltd.",https://shlipuzm.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Street Light, Flood Light, Photocell, LED Garden Light, Ballast, Floodlight, Ignitor",https://shlipuzm.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Lipu Lighting Co., Ltd.",4.6,Mr. Steve Zhou,Sales,"No.2025 Luoning Road, Baoshan District",200949,China,Shanghai,Shanghai
58,"Shanghai Shenming Lighting Co., Ltd.",https://shenming-growlight.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Magnetic ballast, HID lamp, Reflector, Lighting fixture, Electronic Ballast",https://shenming-growlight.en.alibaba.com/company_profile.html#top-nav-bar,"Shanghai Shenming Lighting Co., Ltd.",,Mr. william wang,Sales,NO.999 Chengliu Middle Road Jiading Dist. SHANGHAI,201801,China,Shanghai,shanghai
59,"Wenzhou Hengxiong Electric Co., Ltd.",https://hengxiong.en.alibaba.com/contactinfo.html,Gold Supplier,10,"grow light, light reflector, light hanger, grow tent, ballast",https://hengxiong.en.alibaba.com/company_profile.html#top-nav-bar,"Wenzhou Hengxiong Electric Co., Ltd.",,Ms. lissa Dong,Sales,"Dongchen Industrial Zone, Tangxia Town, Ruian City, Zhejiang Province. China",325204,China,Zhejiang,Ruian
60,"Hefei Bluesun Solar Energy Tech. Co., Limited",https://bluesunpv.en.alibaba.com/contactinfo.html,Supplier,7,"Solar Panel, Solar System",https://bluesunpv.en.alibaba.com/company_profile.html#top-nav-bar,"Hefei Bluesun Solar Energy Tech. Co., Limited,Supplier",4.6,Mr. Brandon Bluesun Solar,Marketing,No.188 Qianshan Road,230031,China,Anhui,Hefei
61,"Haining Wealth Electron Co., Ltd.",https://zjwealth.en.alibaba.com/contactinfo.html,Gold Supplier,2,"High and low frequency transformer, Wave filter, inductance, Ring inductance, LED driver",https://zjwealth.en.alibaba.com/company_profile.html#top-nav-bar,"Haining Wealth Electron Co., Ltd.",4.8,Ms. Cindy Wang,Sales,"No.18-3,tiancheng road,tianli village,dingqiao town,haining city",314400,China,Zhejiang,Haining
62,Baoding Chuangrui Precision ,https://crpump.en.alibaba.com/contactinfo.html,Supplier,9,"Peristaltic Pump, Syringe Pump, Filling System, Pump Tubing",https://crpump.en.alibaba.com/company_profile.html#top-nav-bar,"Baoding Chuangrui Precision Pump Co., Ltd.,Supplier",4.8,,,,,,,
63," Co., Ltd.",https://cncsc.en.alibaba.com/contactinfo.html,Gold Supplier,8,"diesel generator, marine generator, natural gas generator, solar air conditioner, solar powered system",https://cncsc.en.alibaba.com/company_profile.html#top-nav-bar,"Fujian Century Sea Power Co., Ltd.",4.6,Ms. Alice Lin,Director/CEO/General Manager,"whatsapp 008613799998232 Tieling industrial Zone, HongGan Road,Fuzhou",350000,China,Fujian,Fuzhou City
